대분류코드,사업자등록번호,순번,특허명칭,IPC코드내용,출원인명,출원번호,특허명,출원날짜,CPC번호,인용수,피인용수,발명자수,청구항수
G,2151600238,1,,,,1019870008187,전 전자 교환기의 원격교환장치용 휴대형 시험기,19870727.0,H04M3/22,0.0,0.0,3.0,2.0
F,4168100241,1,,,,1020170182457,회전식 차량용 의자,20171228.0,B60N2/14,0.0,0.0,2.0,10.0
J,3808100242,1,,,,1020160066211,대상체의 성분 분석이 가능한 분광 장치 및 이를 포함하는 전자 장치,20160530.0,G01N21/3103,2.0,1.0,2.0,5.0
C,8138100244,1,,,,1020190124921,삼채와 찰보리를 이용한 쌀국수 제조방법,20191001.0,A23L7/109,2.0,0.0,1.0,3.0
G,1148700245,1,,,,1020100116308,태양광 모듈의 원격 모니터링 장치 및 방법,20101122.0,H02S50/10,3.0,7.0,2.0,5.0
J,5188600248,1,,,,1020160054511,"계산과학 서비스를 제공하는 제어서버, 시스템 및 방법",20160503.0,G06Q50/00,0.0,0.0,2.0,10.0
J,1078600250,1,,,,1020130056603,탄착점 확인 시스템 및 이의 실행 방법,20130520.0,F41G5/00,0.0,1.0,1.0,16.0
J,4028100256,1,,,,1020160063336,Url을 이용한 홍보 판매 장치,20160524.0,G06Q30/0277,1.0,0.0,1.0,1.0
J,1578800258,1,,,,1020200112197,전자 장치의 인터페이스의 강건성 검증을 위한 검증 장치 및 그 자동 검증 방법,20200903.0,G01R31/31813,0.0,0.0,1.0,7.0
F,5118100260,1,,,,1020020029013,가축용 자화수 급수장치,20020524.0,E02B13/00,0.0,4.0,1.0,2.0
F,1408100269,1,,,,1020130079456,악취제거용 크린룸,20130708.0,B65F1/1426,0.0,0.0,1.0,4.0
C,1238100276,1,,,,1020040013880,광커넥터 페룰 크리너,20040302.0,E02B15/0814,0.0,0.0,1.0,15.0
J,1078100278,1,,,,1020020016118,유가증권의 시세를 활용한 네트워크 기반의 게임형 인터넷복권 발매 시스템과 그 운영 방법,20020325.0,,0.0,0.0,1.0,1.0
G,1238600281,1,,,,1020140027602,"스마트미터, 이를 포함하는 검침 시스템 및 이를 제어하는 데이터 수집장치의 동작 방법",20140310.0,G06Q50/10,2.0,1.0,1.0,15.0
F,4038100282,1,,,,1020170182457,회전식 차량용 의자,20171228.0,B60N2/14,0.0,0.0,2.0,10.0
F,7078800286,1,,,,1020020029013,가축용 자화수 급수장치,20020524.0,E02B13/00,0.0,4.0,1.0,2.0
F,1238600291,1,,,,1019820002009,고압가스 충진후의 밀폐장치 및 방법,19820508.0,,0.0,0.0,1.0,2.0
F,1248600294,1,,,,2020040005626,의료용 영상 카메라,20040303.0,A61B1/0692,0.0,0.0,1.0,1.0
S,6768100295,1,,,,1020190075273,아동용 안전 벨트 가이드,20190624.0,B60R22/18,1.0,0.0,1.0,8.0
P,1018600296,1,,,,1020200008873,인공지능 영어 학습 방법,20200122.0,G06Q50/20,2.0,0.0,1.0,16.0
J,2808100298,1,,,,1020190030422,블록체인을 이용한 의료 정보 조회 시스템과 방법 및 이를 위한 컴퓨터 프로그램,20190318.0,G16H10/00,1.0,0.0,5.0,11.0
J,4928700306,1,,,,1020200121379,서비스 프로필 기반으로 컴퓨팅 인프라 환경을 추천하는 컴퓨팅 인프라 환경 지원 장치 및 방법,20200921.0,G06F9/45533,1.0,0.0,3.0,16.0
J,1098600310,1,,,,1020130080416,지피에스gps와 아이엔에스ins를 이용한 초정밀 항공촬영 장치,20130709.0,G01C11/02,3.0,2.0,3.0,1.0
J,1148600320,1,,,,1020170014410,가상 시뮬레이션 장치,20170201.0,G09B9/04,2.0,0.0,2.0,5.0
J,2208600322,1,,,,1020020058518,이동 통신 단말의 실시간 정보 표시 장치 및 그 방법,20020926.0,H04M1/72436,0.0,0.0,3.0,22.0
F,6218100327,1,,,,2020110007509,맨홀,20110819.0,E02D29/1409,0.0,0.0,1.0,2.0
J,1058700330,1,,,,1020200065102,빅데이터 기반 반응형 웹페이지 제공 방법,20200529.0,G06F16/9577,0.0,0.0,1.0,4.0
J,1138600332,1,,,,1020200104746,범용성을 갖는 통합형 가변 전압 가변 주파수 제어vvvf 철도차량 시뮬레이터 및 방법,20200820.0,G09B9/05,1.0,0.0,1.0,5.0
M,2118700337,1,,,,1020150160169,포장상자,20151116.0,B65D5/42,0.0,0.0,1.0,8.0
G,1208700340,1,,,,2020080012972,전기분해장치 및 이를 이용한 정수기,20080926.0,C02F1/46104,0.0,0.0,2.0,6.0
C,1228600343,1,,,,1020160012116,컴퓨터 수행 가능한 위급 상황 알림 방법,20160201.0,G08B21/04,2.0,0.0,1.0,4.0
C,1058700345,1,,,,1020150016039,이중 표시장치를 구비하는 전력 관리 보호 장치,20150202.0,H02B15/00,0.0,0.0,2.0,4.0
J,1238100346,1,,,,1020080095903,항공 레이저 측량을 이용한 수목 캐노피 추출 시스템 및 방법,20080930.0,G06T17/00,0.0,7.0,1.0,7.0
J,6288800347,1,,,,1020170143766,천연 비누 조성물,20171031.0,C11D9/38,0.0,0.0,1.0,4.0
J,1078100351,1,,,,1020000073071,사용자 계정을 도메인으로 사용하는 실시간 인터넷커뮤니케이션 방법 및 장치,20001204.0,H04L29/12066,0.0,0.0,1.0,7.0
J,2138600362,1,,,,1020000027857,인공위성의 영상데이터를 이용한 지도 제작방법,20000523.0,G09B29/004,0.0,0.0,1.0,4.0
C,1218100365,1,,,,1020160134286,밀물 사전예고 경보시스템,20161017.0,G08B31/00,0.0,0.0,1.0,5.0
J,1428100388,1,,,,2020030027184,액정디스플레이 패널 제진장치의 이온바 설치구조,20030825.0,G02F1/1303,0.0,0.0,1.0,1.0
J,4828800390,1,,,,1020200049015,아동의 활동을 실시간 모니터링하는 안전사고 방지 방법 및 이를 이용한 시스템,20200423.0,G08B21/0208,0.0,0.0,1.0,3.0
F,1118100393,1,,,,2019990022335,"자연석을 이용한 건축용 내,외장타일",19991018.0,E04F13/0862,0.0,0.0,1.0,1.0
F,1078100398,1,,,,1020000006065,흡음형 방음판넬,20000209.0,G06F1/1601,0.0,0.0,1.0,10.0
C,1248500404,1,,,,1020070079410,무브러시 직류 모터의 코깅 토크 저감 장치,20070808.0,H02K29/03,1.0,1.0,1.0,2.0
G,1298100409,1,,,,1020110062785,"단말기에서의 상품의 환경 지표 출력방법, 단말기에서의 인별 환경 지표 사용 정보 전송 방법 및 이를 적용한 단말기",20110628.0,G06Q30/0627,0.0,0.0,3.0,14.0
J,7158700411,1,,,,1020200129244,다차원 이미지를 이용한 결제 처리 시스템 및 그 제어방법과 그 시스템에 포함되는 결제 처리 서버 및 그 제어방법,20201007.0,G06Q20/3276,1.0,0.0,1.0,9.0
C,8788100417,1,,,,1020160157932,"항균 접착 단백질을 포함하는 초극세 섬유 제조용 조성물, 이를 이용한 초극세 섬유 및 이의 제조방법",20161125.0,D01F1/103,0.0,0.0,7.0,16.0
F,4748700421,1,,,,1020150157524,추락방지용 안전 난간장치,20151110.0,E01D19/10,0.0,0.0,3.0,6.0
J,5528700425,1,,,,1020200112491,차량이미지를 이용하여 차량을 판독하는 차량판독 장치 및 이를 이용하여 판독하는 방법,20200903.0,G06V10/757,2.0,0.0,3.0,12.0
P,4718800429,1,,,,1020180132323,머신러닝을 위한 학습데이터 세트의 구성 방법 및 장치,20181031.0,G06N20/00,2.0,1.0,2.0,9.0
J,2618100433,1,,,,1020200094051,인공지능을 이용한 광고주와 인플루언서 중개 서비스 제공 장치 이를 이용한 중개 방법,20200728.0,G06Q30/08,0.0,0.0,2.0,7.0
C,1578100438,1,,,,1020120017834,순정 스마트키를 이용한 차량 제어 시스템 및 그 방법,20120222.0,B60R25/01,0.0,0.0,1.0,17.0
J,6318100447,1,,,,1020190167484,클라우드 서버 및 로보틱 프로세스 자동화 기술 기반의 차량용 지능형 안전분석 시스템,20191216.0,G06Q10/0635,2.0,0.0,2.0,1.0
F,7358800454,1,,,,1020170182457,회전식 차량용 의자,20171228.0,B60N2/14,0.0,0.0,2.0,10.0
J,1308100462,1,,,,1020030081032,용접 품질 검사 장치 및 방법,20031117.0,B23K31/125,0.0,0.0,1.0,5.0
J,3148100464,1,,,,1020080066270,태양열을 이용한 축열탱크,20080708.0,F24D3/005,3.0,0.0,1.0,3.0
F,1188800471,1,,,,2020060015618,히트쉴드가 장착된 에어 클리너,20060612.0,F02M35/0202,0.0,0.0,1.0,2.0
J,7418700474,1,,,,2020050011268,드럼 믹서의 비산 분진 제거장치,20050422.0,B01D46/0002,0.0,0.0,1.0,4.0
J,1858800483,1,,,,1020200049746,딥러닝 기반 백혈구 분석 방법 및 장치,20200424.0,G06T7/0012,0.0,0.0,1.0,4.0
C,8798700491,1,,,,1020200055222,대용량 가스 배럴의 교체 시스템,20200508.0,F17C13/084,2.0,0.0,2.0,3.0
J,1058600495,1,,,,1020100041585,온라인 운송용역 거래방법 및 그 시스템,20100503.0,G05D1/0278,0.0,0.0,1.0,13.0
J,1168100512,1,,,,1020060106067,아파트 단지 내 개별 세대의 자연 환기 성능 예측 방법,20061031.0,F24F11/0001,0.0,0.0,3.0,7.0
F,4128100513,1,,,,1020080066270,태양열을 이용한 축열탱크,20080708.0,F24D3/005,3.0,0.0,1.0,3.0
C,8578100517,1,,,,1020030025160,특수파장대의 자외선을 이용한 인체치료용 의료기기,20030421.0,A61N5/06,0.0,0.0,3.0,3.0
F,1108100525,1,,,,2019960008639,청정실 송풍장치,19960419.0,F24F13/24,0.0,0.0,1.0,7.0
J,2208700528,1,,,,20100005849,공통 관심 사용자 검색장치 및 방법,20100122.0,,0.0,4.0,4.0,21.0
J,3718100551,1,,,,1020190006375,전자문서의 점자 변환 시스템,20190117.0,G09B21/005,0.0,1.0,2.0,4.0
J,8508600552,1,,,,1020000054499,대구경 렌즈계,20000916.0,G02B9/64,0.0,0.0,1.0,9.0
J,2118700555,1,,,,1020100013526,데이터타입 분류에 따른 캐릭터정보 동기화 방법,20100212.0,G07F17/3281,0.0,1.0,1.0,7.0
J,1088100559,1,,,,1020030057649, 프로토콜을 이용한 증권 주문관리시스템,20030820.0,,0.0,0.0,6.0,6.0
F,1198100562,1,,,,1020170116837,시트용 스펀지 제조시스템,20170912.0,B29B7/7404,0.0,0.0,2.0,7.0
F,5028600576,1,,,,1020160000990,무동력 회전파쇄구가 장착된 연약지반 개량용 심층혼합처리장치 및 방법,20160105.0,E02D3/12,0.0,0.0,2.0,2.0
M,8728100583,1,,,,1020170136654,테트리스 하우스 설계 시스템,20171020.0,G06F17/5004,1.0,0.0,1.0,5.0
G,6998100589,1,,,,1020190075583,반려동물용 아이스크림 조성물 및 이를 이용한 아이스크림 제조 방법,20190625.0,A23G9/38,1.0,0.0,3.0,11.0
G,1238100592,1,,,,1020060094705,일회용 면도기,20060928.0,B26B21/06,0.0,0.0,1.0,8.0
G,1238600596,1,,,,1020210066692,"기부 포탈 터미널 시스템, 기부 포탈 터미널 및 그것의 기부 포탈 서비스 제공 방법",20210525.0,G06Q50/22,0.0,0.0,3.0,10.0
J,2208100623,1,,,,1020050018395,인터넷 메신저를 이용한 리서치 시스템,20050305.0,G11B31/00,0.0,0.0,1.0,11.0
C,1098100628,1,,,,1020127008173,무선 통신 시스템에서의 프리코딩 및 피드백 채널 정보,20091006.0,H04B7/0417,4.0,7.0,2.0,10.0
P,5698800633,1,,,,1020200107960,머신러닝 최적화 방법 및 장치,20200826.0,G06N3/126,0.0,0.0,1.0,21.0
F,6178100640,1,,,,1020060021056,기기에 카드를 장착하기 위한 카드장착유닛 및 이를 이용한카드장착방법,20060306.0,H04B17/00,0.0,0.0,1.0,6.0
J,1108100641,1,,,,1020090015415,다자간 전자회의 시스템을 위한 프리젠테이션 어플리케이션제어 방법 및 그 장치,20090224.0,G06F9/00,1.0,1.0,2.0,16.0
C,1448100643,1,,,,1020160098137,광섬유 전력전달 기능 모듈 및 단일 광섬유로 전력공급과 광통신이 가능한 광시스템,20160801.0,H04B10/807,0.0,0.0,2.0,5.0
F,7048800645,1,,,,1020000048831,도정수율 및 미질향상을 위한 현미가수장치,20000823.0,B02B5/02,0.0,2.0,1.0,3.0
J,1148600649,1,,,,1020210078420,Wips 센서 및 wips 센서를 이용한 불법 무선 단말의 침입 차단 방법,20210617.0,H04W12/121,1.0,0.0,2.0,13.0
J,8078100650,1,,,,1020190027121,금융 이체 서비스를 이용한 대금 납부 대행 시스템 및 방법,20190308.0,G06Q20/14,0.0,0.0,1.0,4.0
G,1318600653,1,,,,1020020054917,이동통신기기의 화상전화번호부 자동검색 및 관리장치 및그 방법,20020911.0,H04M1/27475,0.0,2.0,1.0,3.0
J,1148600664,1,,,,1020080062455,유에스비 포트용 저장매체의 보안 관리 시스템 및 방법,20080630.0,G06F21/82,0.0,0.0,3.0,4.0
G,3040400673,1,,,,1020020050773, 인터넷서비스의 동축케이블망 장애 추정 방법,20020827.0,H04L41/0695,0.0,0.0,3.0,6.0
C,4098600677,1,,,,1020140168601,통신 기능을 갖는 태양광 전지 모듈의 정션 박스,20141128.0,H02S40/34,1.0,2.0,2.0,6.0
J,3168100687,1,,,,1020180113416,스탠딩 인형 및 이를 포함한 스탠딩 인형 세트,20180921.0,A63H3/006,0.0,0.0,1.0,11.0
F,1058100690,1,,,,1020050130224,흙 고화포장 조성물과 이를 이용한 흙 고화포장공법,20051227.0,C04B28/001,0.0,7.0,1.0,5.0
J,1168100692,1,,,,1020000036884,사용자 중심의 무선 인터넷 서비스 제공방법 및 장치,20000630.0,G06Q50/10,0.0,0.0,1.0,3.0
F,3618700696,1,,,,1020000034809,"인터넷 서비스 서버, 컴퓨터 시스템 및 그 광고방법",20000623.0,G06Q30/02,0.0,0.0,6.0,32.0
G,1138600701,1,,,,1020120130927,와 반사손실을 개선한 케이블용 컨넥터,20121119.0,H01R13/6461,0.0,0.0,1.0,3.0
J,4118100702,1,,,,1020200085945,한옥의 처마 구조를 갖는 해삼 양식용 쉘터,20200713.0,A01K61/30,4.0,0.0,2.0,5.0
F,1378600707,1,,,,1020210107678,전광판 일체형 다기능 cctv 함체,20210813.0,H04N7/18,0.0,0.0,1.0,3.0
J,1198600708,1,,,,1020170076853,"통합 환경 허가 서버, 통합 환경 허가 관리 시스템",20170616.0,G06Q50/26,0.0,1.0,9.0,9.0
G,1138600716,1,,,,1020130057906,스마트 안전실험실 시스템,20130522.0,G06Q10/06,1.0,0.0,1.0,7.0
F,8118600725,1,,,,1020020086913,파일 또는 프로그램 변환방법,20021230.0,G06F9/44505,0.0,0.0,1.0,6.0
J,1068600728,1,,,,20120059086,카메라와 프로젝터가 스테이지 수평 회전축 회전유동부와 결합된 2축 모션부를 갖춘 치과용 데스크탑 3차원 스캐너,20120601.0,A61C19/04,1.0,5.0,1.0,3.0
F,3018600734,1,,,,1019880017985,전자시이클로트론 공명Electron Cyclotron Resonance을 이용한 플라즈마 발생장치,19881230.0,H01J37/32678,0.0,0.0,5.0,5.0
J,4748700735,1,,,,1020170089733,금융 거래 정보의 자동 인식 방법 이를 활용한 서비스 제공 시스템,20170714.0,G06Q40/02,0.0,0.0,4.0,9.0
F,5108100737,1,,,,1020020029013,가축용 자화수 급수장치,20020524.0,E02B13/00,0.0,4.0,1.0,2.0
