사업자등록번호,조사년도,매출액,영업이익,당기순이익
2048100098,2019.0,164818894.0,1306110.0,-193349.0
2048100098,2019.0,164818894.0,1306110.0,-193349.0
2048100098,2018.0,168775074.0,291002.0,4201285.0
2048100098,2018.0,168775074.0,291002.0,4201285.0
2048100098,2017.0,189187835.0,745127.0,286717.0
2048100098,2017.0,189187835.0,745127.0,286717.0
4708800099,2017.0,89700.0,-356.0,-253.0
4708800099,2018.0,350681.0,5445.0,6839.0
4708800099,2019.0,1520846.0,596163.0,596797.0
4708800099,2020.0,1456269.0,272481.0,193929.0
1058200100,2020.0,22861003.0,1718188.0,1768562.0
1058200100,2019.0,23175196.0,1976800.0,1513312.0
1058200100,2018.0,20201256.0,1363093.0,430160.0
6148200106,2020.0,1214031356.0,49493.0,148671.0
6148200106,2019.0,1051501833.0,-733660.0,-468215.0
6148200106,2018.0,1018199756.0,-530101.0,-399824.0
6148200106,2018.0,1018199756.0,-530101.0,-399824.0
6148200106,2017.0,1032006843.0,-133983.0,-51231.0
6148200106,2017.0,1032006843.0,-133983.0,-51231.0
1918100107,2020.0,10909.0,-1339175.0,-1747819.0
2018100108,2020.0,228996069.0,56675048.0,39416922.0
2018100108,2020.0,228996069.0,56675048.0,39416922.0
2018100108,2019.0,133151813.0,34546553.0,23468283.0
2018100108,2019.0,133151813.0,34546553.0,23468283.0
2018100108,2018.0,198697511.0,40450700.0,32677145.0
2018100108,2018.0,198697511.0,40450700.0,32677145.0
2018100108,2017.0,119422554.0,13675573.0,12982487.0
2018100108,2017.0,119422554.0,13675573.0,12982487.0
4120400109,2020.0,1819441.0,140842.0,127082.0
4120400109,2019.0,1745398.0,135712.0,128043.0
4120400109,2018.0,1169128.0,90346.0,85872.0
1108100110,2016.0,22109198.0,1594265.0,1149292.0
1108100110,2017.0,25172448.0,2094475.0,1204536.0
1108100110,2018.0,25821993.0,2817612.0,1259003.0
1108100110,2019.0,25245374.0,3910595.0,1296350.0
1108100110,2020.0,18033955.0,1228891.0,1296040.0
1018100111,2016.0,20975527.0,1218200.0,604000.0
1018100111,2016.0,20975527.0,1218200.0,604000.0
1018100111,2017.0,17577349.0,961241.0,101001.0
1018100111,2017.0,17577349.0,961241.0,632161.0
1018100111,2018.0,17530638.0,1759498.0,1112288.0
1018100111,2018.0,17530638.0,1759498.0,1267602.0
1018100111,2019.0,26156057.0,5751931.0,4750785.0
1018100111,2019.0,26156057.0,5751931.0,5792547.0
1018100111,2020.0,23202672.0,5644052.0,4987053.0
1018100111,2020.0,23202672.0,5644052.0,5638599.0
6168100116,2020.0,2130496.0,124260.0,102936.0
6168100116,2019.0,2670734.0,186608.0,176555.0
6168100116,2018.0,2442761.0,38547.0,22425.0
6168100116,2017.0,2556961.0,70949.0,136927.0
3148100117,2018.0,2420835.0,-39249.0,71517.0
3148100117,2017.0,1754000.0,-61000.0,7000.0
