대분류코드,사업자등록번호,순번,특허명칭,IPC코드내용,출원인명,출원번호,특허명,출원날짜,CPC번호,인용수,피인용수,발명자수,청구항수
C,1228600618,2,서로 다른 2개의 연속 공정용 캐비티를 구비한 통합 금형을 이용한 변압기용 코일 구조물 패키징 시스템,H01F-027/28,주식회사 진***,1020210017665,,,,0.0,0.0,0.0,0.0
C,2118600619,2,휘도 평활화와 광흐름 분석을 이용한 이동탐지 시스템 및 방법,G06T-007/20,주식회사 아***,1020160146802,,,,0.0,0.0,0.0,0.0
J,1138600620,2,이미지 처리장치 및 그 이미지 처리방법 ,G06T-001/00,주퍼니**,1020130004632,,,,0.0,0.0,0.0,0.0
C,1228600622,2,급속 냉각 가능한 열처리장치,F27D-003/00,주티엔에***,1020200153787,,,,0.0,0.0,0.0,0.0
J,2448700624,2,"재실 감지를 이용한 에너지 절감 시스템 및 방법, 측정 장치 및 측정 방법",G06Q-050/06,주제**,1020180077134,,,,0.0,0.0,0.0,0.0
J,3148100625,2,간 조직에서 특이적으로 발현되는 유전자 및 이를 이용한 대사관련 효소에 의해 매개되는 질환의 진단방법,C12Q-001/68,주식회사 위***,1020110013616,,,,0.0,0.0,0.0,0.0
C,4098600626,2,편광유지 광섬유의 정렬장치,G02B-006/38,신한네트웍스 주***,1020170166862,,,,0.0,0.0,0.0,0.0
C,2048600629,2,다중 무선통신 기술을 활용한 위치 추적 시스템 및 방법,G08B-021/18,휴네이**,1020160112509,다중 무선통신 기술을 활용한 위치 추적 시스템 및 방법,20160901.0,H04W4/023,0.0,0.0,5.0,22.0
J,2418600631,2,덤벨 디바이스를 이용한 운동 정보 제공 시스템 및 방법,A63B-024/00,주식회사 앨리스헬***,1020180131621,,,,0.0,0.0,0.0,0.0
J,3558800632,2,기상 기후 자료의 유통 서비스를 제공하는 서비스 제공 장치 및 유통 서비스 제공 방법,G06Q-050/10,잉그리스 주***,1020180140421,,,,0.0,0.0,0.0,0.0
P,2148600636,2,업데이트 기능을 갖는 전자책 콘텐츠 제공방법,G06Q-050/10,주**,1020140152093,,,,0.0,0.0,0.0,0.0
J,1108800639,2,요로감염 진단키트와 이를 이용한 의료 서비스,A61B-005/00,제3의청춘주***,1020190067939,,,,0.0,0.0,0.0,0.0
G,2128100644,2,국제무역서비스 제공시스템 및 그 방법,G06Q-030/00A0,주식회사 한국무역정***,1020060109129,,,,0.0,0.0,0.0,0.0
F,1188100646,2,전원 보호회로가 내장된 유선전화기,H04M-001/00,주식회사동해정***,2019920024496,,,,0.0,0.0,0.0,0.0
G,5148100647,2,소방차량 배기가스를 제어하는 스마트 배기시스템,F01N-003/023,문**,1020200008486,,,,0.0,0.0,0.0,0.0
J,8418800648,2,파라메트릭 디자인을 이용한 가구배치 시뮬레이션 방법 및 장치,G06Q-050/08,주식회사 프***,1020200139173,,,,0.0,0.0,0.0,0.0
M,2118600651,2,다리 교정장치,A61F-005/00,주 코리아데이타네***,1020130049265,,,,0.0,0.0,0.0,0.0
C,2118100654,2,농수산물 제습 건조장치 및 그것의 가동방법,A23B-007/02,주식회사 동흥***,1020140170498,,,,0.0,0.0,0.0,0.0
J,1208600656,2,이종망에서 셀룰러 서비스를 제공하는 이동통신 시스템 및 이동통신 시스템에서 서비스를 이용하는 단말,H04W-036/18,한솔인티큐브 주***,1020130018687,,,,0.0,0.0,0.0,0.0
J,1058800660,2,클라우드 창고 제공 시스템,G06Q-010/08,주마이**,1020180008053,,,,0.0,0.0,0.0,0.0
J,1088600662,2,온라인을 이용한 혼합현실형 가상 공연 시스템,G06Q-050/10,장**,1020140027246,온라인을 이용한 혼합현실형 가상 공연 시스템,20140307.0,G06Q50/10,0.0,0.0,4.0,7.0
F,7208700663,2,유압식 보조축 조향제어 시스템 ,B62D-005/06,세원이***,1020210157447,,,,0.0,0.0,0.0,0.0
J,5048100666,2,하수구용 약액 디스펜서,F04B-043/00,주식회사 가***,1020190090757,,,,0.0,0.0,0.0,0.0
G,7048100667,2,립스틱,,코드코스메인터내***,3020160043023,,,,0.0,0.0,0.0,0.0
J,1148600671,2,구조물 외관도 작성 방법 및 서버,G06F-017/50,한국도***,1020170105181,,,,0.0,0.0,0.0,0.0
F,2878800675,2,"웨어러블 단말 장치, 그를 포함한 사용자 행동정보 기반 선도 시스템 및 그 방법",G08B-003/10,주아이에스비정***,1020170015739,,,,0.0,0.0,0.0,0.0
N,5028600678,1,인지재활 훈련 시스템을 활용한 고스텝 훈련 시스템,G16H-020/70,주휴먼아이티***,1020220029894,,,,0.0,0.0,0.0,0.0
M,5498800679,2,슬라이드식으로 접어 좁은공간에 보관이 가능하며 무릎에 무리가 가지 않는 운동이 가능한 사이클 머신,A63B-022/06,강**,1020200119486,,,,0.0,0.0,0.0,0.0
